country,year,pop,continent,lifeExp,gdpPercap
Afghanistan,TEMPO#1,8425333,Asia,28.801,779.4453145
Afghanistan,TEMPO#2,9240934,Asia,30.332,820.8530296
Afghanistan,TEMPO#3,10267083,Asia,31.997,853.10071
Afghanistan,TEMPO#4,11537966,Asia,34.02,836.1971382
Afghanistan,TEMPO#5,13079460,Asia,36.088,739.9811058
Afghanistan,TEMPO#6,14880372,Asia,38.438,786.11336
Afghanistan,TEMPO#7,12881816,Asia,39.854,978.0114388
Afghanistan,TEMPO#8,13867957,Asia,40.822,852.3959448
Afghanistan,TEMPO#9,16317921,Asia,41.674,649.3413952
Afghanistan,TEMPO#10,22227415,Asia,41.763,635.341351
Afghanistan,TEMPO#11,25268405,Asia,42.129,726.7340548
Afghanistan,TEMPO#12,31889923,Asia,43.828,974.5803384
Albania,TEMPO#1,1282697,Europe,55.23,1601.056136
Albania,TEMPO#2,1476505,Europe,59.28,1942.284244
Albania,TEMPO#3,1728137,Europe,64.82,2312.888958
Albania,TEMPO#4,1984060,Europe,66.22,2760.196931
Albania,TEMPO#5,2263554,Europe,67.69,3313.422188
Albania,TEMPO#6,2509048,Europe,68.93,3533.00391
Albania,TEMPO#7,2780097,Europe,70.42,3630.880722
Albania,TEMPO#8,3075321,Europe,72,3738.932735
Albania,TEMPO#9,3326498,Europe,71.581,2497.437901
Albania,TEMPO#10,3428038,Europe,72.95,3193.054604
Albania,TEMPO#11,3508512,Europe,75.651,4604.211737
Albania,TEMPO#12,3600523,Europe,76.423,5937.029526
Algeria,TEMPO#1,9279525,Africa,43.077,2449.008185
Algeria,TEMPO#2,10270856,Africa,45.685,3013.976023
Algeria,TEMPO#3,11000948,Africa,48.303,2550.81688
Algeria,TEMPO#4,12760499,Africa,51.407,3246.991771
Algeria,TEMPO#5,14760787,Africa,54.518,4182.663766
Algeria,TEMPO#6,17152804,Africa,58.014,4910.416756
Algeria,TEMPO#7,20033753,Africa,61.368,5745.160213
Algeria,TEMPO#8,23254956,Africa,65.799,5681.358539
Algeria,TEMPO#9,26298373,Africa,67.744,5023.216647
Algeria,TEMPO#10,29072015,Africa,69.152,4797.295051
