country,year,pop,continent,lifeExp,gdpPercap
Afghanistan,TEMPO#1,8425333,Grupo01,28.801,779.4453145
Afghanistan,TEMPO#2,9240934,Grupo01,30.332,820.8530296
Afghanistan,TEMPO#3,10267083,Grupo01,31.997,853.10071
Afghanistan,TEMPO#4,11537966,Grupo01,34.02,836.1971382
Afghanistan,TEMPO#5,13079460,Grupo01,36.088,739.9811058
Afghanistan,TEMPO#6,14880372,Grupo01,38.438,786.11336
Afghanistan,TEMPO#7,12881816,Grupo01,39.854,978.0114388
Afghanistan,TEMPO#8,13867957,Grupo01,40.822,852.3959448
Afghanistan,TEMPO#9,16317921,Grupo01,41.674,649.3413952
Afghanistan,TEMPO#10,22227415,Grupo01,41.763,635.341351
Afghanistan,TEMPO#11,25268405,Grupo01,42.129,726.7340548
Afghanistan,TEMPO#12,31889923,Grupo01,43.828,974.5803384
Albania,TEMPO#1,1282697,Grupo02,55.23,1601.056136
Albania,TEMPO#2,1476505,Grupo02,59.28,1942.284244
Albania,TEMPO#3,1728137,Grupo02,64.82,2312.888958
Albania,TEMPO#4,1984060,Grupo02,66.22,2760.196931
Albania,TEMPO#5,2263554,Grupo02,67.69,3313.422188
Albania,TEMPO#6,2509048,Grupo02,68.93,3533.00391
Albania,TEMPO#7,2780097,Grupo02,70.42,3630.880722
Albania,TEMPO#8,3075321,Grupo02,72,3738.932735
Albania,TEMPO#9,3326498,Grupo02,71.581,2497.437901
Albania,TEMPO#10,3428038,Grupo02,72.95,3193.054604
Albania,TEMPO#11,3508512,Grupo02,75.651,4604.211737
Albania,TEMPO#12,3600523,Grupo02,76.423,5937.029526
Algeria,TEMPO#1,9279525,Grupo03,43.077,2449.008185
Algeria,TEMPO#2,10270856,Grupo03,45.685,3013.976023
Algeria,TEMPO#3,11000948,Grupo03,48.303,2550.81688
Algeria,TEMPO#4,12760499,Grupo03,51.407,3246.991771
Algeria,TEMPO#5,14760787,Grupo03,54.518,4182.663766
Algeria,TEMPO#6,17152804,Grupo03,58.014,4910.416756
Algeria,TEMPO#7,20033753,Grupo03,61.368,5745.160213
Algeria,TEMPO#8,23254956,Grupo03,65.799,5681.358539
Algeria,TEMPO#9,26298373,Grupo03,67.744,5023.216647
Algeria,TEMPO#10,29072015,Grupo03,69.152,4797.295051
Algeria,TEMPO#11,31287142,Grupo03,70.994,5288.040382
Algeria,TEMPO#12,33333216,Grupo03,72.301,6223.367465
Angola,TEMPO#1,4232095,Grupo03,30.015,3520.610273
Angola,TEMPO#2,4561361,Grupo03,31.999,3827.940465
Angola,TEMPO#3,4826015,Grupo03,34,4269.276742
Angola,TEMPO#4,5247469,Grupo03,35.985,5522.776375
Angola,TEMPO#5,5894858,Grupo03,37.928,5473.288005
Angola,TEMPO#6,6162675,Grupo03,39.483,3008.647355
Angola,TEMPO#7,7016384,Grupo03,39.942,2756.953672
Angola,TEMPO#8,7874230,Grupo03,39.906,2430.208311
Angola,TEMPO#9,8735988,Grupo03,40.647,2627.845685
Angola,TEMPO#10,9875024,Grupo03,40.963,2277.140884
Angola,TEMPO#11,10866106,Grupo03,41.003,2773.287312
Angola,TEMPO#12,12420476,Grupo03,42.731,4797.231267
Argentina,TEMPO#1,17876956,Grupo04,62.485,5911.315053
Argentina,TEMPO#2,19610538,Grupo04,64.399,6856.856212
Argentina,TEMPO#3,21283783,Grupo04,65.142,7133.166023
Argentina,TEMPO#4,22934225,Grupo04,65.634,8052.953021
Argentina,TEMPO#5,24779799,Grupo04,67.065,9443.038526
Argentina,TEMPO#6,26983828,Grupo04,68.481,10079.02674
Argentina,TEMPO#7,29341374,Grupo04,69.942,8997.897412
Argentina,TEMPO#8,31620918,Grupo04,70.774,9139.671389
Argentina,TEMPO#9,33958947,Grupo04,71.868,9308.41871
Argentina,TEMPO#10,36203463,Grupo04,73.275,10967.28195
Argentina,TEMPO#11,38331121,Grupo04,74.34,8797.640716
Argentina,TEMPO#12,40301927,Grupo04,75.32,12779.37964
Australia,TEMPO#1,8691212,Grupo05,69.12,10039.59564
Australia,TEMPO#2,9712569,Grupo05,70.33,10949.64959
Australia,TEMPO#3,10794968,Grupo05,70.93,12217.22686
Australia,TEMPO#4,11872264,Grupo05,71.1,14526.12465
Australia,TEMPO#5,13177000,Grupo05,71.93,16788.62948
Australia,TEMPO#6,14074100,Grupo05,73.49,18334.19751
Australia,TEMPO#7,15184200,Grupo05,74.74,19477.00928
Australia,TEMPO#8,16257249,Grupo05,76.32,21888.88903
Australia,TEMPO#9,1748TEMPO#6,Grupo05,77.56,23424.76683
Australia,TEMPO#10,18565243,Grupo05,78.83,26997.93657
Australia,TEMPO#11,19546792,Grupo05,80.37,30687.75473
Australia,TEMPO#12,20434176,Grupo05,81.235,34435.36744
Austria,TEMPO#1,6927772,Grupo02,66.8,6137.076492
Austria,TEMPO#2,6965860,Grupo02,67.48,8842.59803
Austria,TEMPO#3,7129864,Grupo02,69.54,10750.72111
Austria,TEMPO#4,7376998,Grupo02,70.14,12834.6024
Austria,TEMPO#5,7544201,Grupo02,70.63,16661.6256
Austria,TEMPO#6,7568430,Grupo02,72.17,19749.4223
Austria,TEMPO#7,7574613,Grupo02,73.18,21597.08362
Austria,TEMPO#8,7578903,Grupo02,74.94,23687.82607
Austria,TEMPO#9,7914969,Grupo02,76.04,27042.01868
Austria,TEMPO#10,8069876,Grupo02,77.51,29095.92066
Austria,TEMPO#11,8148312,Grupo02,78.98,32417.60769
Austria,TEMPO#12,8TEMPO#1083,Grupo02,79.829,36126.4927
Bahrain,TEMPO#1,120447,Grupo01,50.939,9867.084765
Bahrain,TEMPO#2,138655,Grupo01,53.832,11635.79945
Bahrain,TEMPO#3,171863,Grupo01,56.923,12753.27514
Bahrain,TEMPO#4,202182,Grupo01,59.923,14804.6727
Bahrain,TEMPO#5,230800,Grupo01,63.3,18268.65839
Bahrain,TEMPO#6,297410,Grupo01,65.593,19340.10196
Bahrain,TEMPO#7,377967,Grupo01,69.052,19211.14731
Bahrain,TEMPO#8,454612,Grupo01,70.75,18524.02406
Bahrain,TEMPO#9,529491,Grupo01,72.601,19035.57917
Bahrain,TEMPO#10,598561,Grupo01,73.925,20292.01679
Bahrain,TEMPO#11,656397,Grupo01,74.795,23403.55927
Bahrain,TEMPO#12,708573,Grupo01,75.635,29796.04834
Bangladesh,TEMPO#1,46886859,Grupo01,37.484,684.2441716
Bangladesh,TEMPO#2,51365468,Grupo01,39.348,661.6374577
Bangladesh,TEMPO#3,56839289,Grupo01,41.216,686.3415538
Bangladesh,TEMPO#4,62821884,Grupo01,43.453,721.1860862
Bangladesh,TEMPO#5,70759295,Grupo01,45.252,630.2336265
Bangladesh,TEMPO#6,80428306,Grupo01,46.923,659.8772322
Bangladesh,TEMPO#7,93074406,Grupo01,50.009,676.9818656
Bangladesh,TEMPO#8,103764241,Grupo01,52.819,751.9794035
Bangladesh,TEMPO#9,113704579,Grupo01,56.018,837.8101643
Bangladesh,TEMPO#10,123315288,Grupo01,59.412,972.7700352
Bangladesh,TEMPO#11,135656790,Grupo01,62.013,1136.39043
Bangladesh,TEMPO#12,150448339,Grupo01,64.062,1391.253792
Belgium,TEMPO#1,8730405,Grupo02,68,8343.105127
Belgium,TEMPO#2,8989111,Grupo02,69.24,9714.960623
Belgium,TEMPO#3,9218400,Grupo02,70.25,10991.20676
Belgium,TEMPO#4,9556500,Grupo02,70.94,13149.04119
Belgium,TEMPO#5,9709100,Grupo02,71.44,16672.14356
Belgium,TEMPO#6,9821800,Grupo02,72.8,19117.97448
Belgium,TEMPO#7,9856303,Grupo02,73.93,20979.84589
Belgium,TEMPO#8,9870200,Grupo02,75.35,22525.56308
Belgium,TEMPO#9,10045622,Grupo02,76.46,25575.57069
Belgium,TEMPO#10,10TEMPO#1087,Grupo02,77.53,27561.19663
Belgium,TEMPO#11,10311970,Grupo02,78.32,30485.88375
Belgium,TEMPO#12,10392226,Grupo02,79.441,33692.60508
Benin,TEMPO#1,1738315,Grupo03,38.223,1062.7522
Benin,TEMPO#2,1925173,Grupo03,40.358,959.6010805
Benin,TEMPO#3,2151895,Grupo03,42.618,949.4990641
Benin,TEMPO#4,2427334,Grupo03,44.885,1035.831411
Benin,TEMPO#5,2761407,Grupo03,47.014,1085.796879
Benin,TEMPO#6,3168267,Grupo03,49.19,1029.161251
Benin,TEMPO#7,3641603,Grupo03,50.904,1277.897616
Benin,TEMPO#8,4243788,Grupo03,52.337,1225.85601
Benin,TEMPO#9,4981671,Grupo03,53.919,1191.207681
Benin,TEMPO#10,6066080,Grupo03,54.777,1232.975292
Benin,TEMPO#11,7026113,Grupo03,54.406,1372.877931
Benin,TEMPO#12,8078314,Grupo03,56.728,1441.284873
Bolivia,TEMPO#1,2883315,Grupo04,40.414,2677.326347
Bolivia,TEMPO#2,3211738,Grupo04,41.89,2127.686326
Bolivia,TEMPO#3,3593918,Grupo04,43.428,2180.972546
Bolivia,TEMPO#4,4040665,Grupo04,45.032,2586.886053
Bolivia,TEMPO#5,4565872,Grupo04,46.714,2980.331339
Bolivia,TEMPO#6,5079716,Grupo04,50.023,3548.097832
Bolivia,TEMPO#7,5642224,Grupo04,53.859,3156.510452
Bolivia,TEMPO#8,6156369,Grupo04,57.251,2753.69149
Bolivia,TEMPO#9,6893451,Grupo04,59.957,2961.699694
Bolivia,TEMPO#10,7693188,Grupo04,62.05,3326.143191
Bolivia,TEMPO#11,8445134,Grupo04,63.883,3413.26269
Bolivia,TEMPO#12,9119152,Grupo04,65.554,3822.137084
Bosnia and Herzegovina,TEMPO#1,2791000,Grupo02,53.82,973.5331948
Bosnia and Herzegovina,TEMPO#2,3076000,Grupo02,58.45,1353.989176
Bosnia and Herzegovina,TEMPO#3,3349000,Grupo02,61.93,1709.683679
Bosnia and Herzegovina,TEMPO#4,3585000,Grupo02,64.79,2172.352423
Bosnia and Herzegovina,TEMPO#5,3819000,Grupo02,67.45,2860.16975
Bosnia and Herzegovina,TEMPO#6,4086000,Grupo02,69.86,3528.481305
Bosnia and Herzegovina,TEMPO#7,4172693,Grupo02,70.69,4126.613157
Bosnia and Herzegovina,TEMPO#8,4338977,Grupo02,71.14,4314.114757
Bosnia and Herzegovina,TEMPO#9,4256013,Grupo02,72.178,2546.781445
Bosnia and Herzegovina,TEMPO#10,3607000,Grupo02,73.244,4766.355904
Bosnia and Herzegovina,TEMPO#11,4165416,Grupo02,74.09,6018.975239
Bosnia and Herzegovina,TEMPO#12,4552198,Grupo02,74.852,7446.298803
Botswana,TEMPO#1,442308,Grupo03,47.622,851.2411407
Botswana,TEMPO#2,474639,Grupo03,49.618,918.2325349
Botswana,TEMPO#3,512764,Grupo03,51.52,983.6539764
Botswana,TEMPO#4,553541,Grupo03,53.298,1214.709294
Botswana,TEMPO#5,619351,Grupo03,56.024,2263.611114
Botswana,TEMPO#6,781472,Grupo03,59.319,3214.857818
Botswana,TEMPO#7,970347,Grupo03,61.484,4551.14215
Botswana,TEMPO#8,1151184,Grupo03,63.622,6205.88385
Botswana,TEMPO#9,1342614,Grupo03,62.745,7954.111645
Botswana,TEMPO#10,1536536,Grupo03,52.556,8647.142313
Botswana,TEMPO#11,1630347,Grupo03,46.634,11003.60508
Botswana,TEMPO#12,1639131,Grupo03,50.728,12569.85177
Brazil,TEMPO#1,56602560,Grupo04,50.917,2108.944355
Brazil,TEMPO#2,65551171,Grupo04,53.285,2487.365989
Brazil,TEMPO#3,76039390,Grupo04,55.665,3336.585802
Brazil,TEMPO#4,88049823,Grupo04,57.632,3429.864357
Brazil,TEMPO#5,100840058,Grupo04,59.504,4985.711467
Brazil,TEMPO#6,114313951,Grupo04,61.489,6660.118654
Brazil,TEMPO#7,128962939,Grupo04,63.336,7030.835878
Brazil,TEMPO#8,142938076,Grupo04,65.205,7807.095818
Brazil,TEMPO#9,155975974,Grupo04,67.057,6950.283021
Brazil,TEMPO#10,168546719,Grupo04,69.388,7957.980824
Brazil,TEMPO#11,179914212,Grupo04,71.006,8131.212843
Brazil,TEMPO#12,190010647,Grupo04,72.39,9065.800825
Bulgaria,TEMPO#1,7274900,Grupo02,59.6,2444.286648
Bulgaria,TEMPO#2,7651254,Grupo02,66.61,3008.670727
Bulgaria,TEMPO#3,8012946,Grupo02,69.51,4254.337839
Bulgaria,TEMPO#4,8310226,Grupo02,70.42,5577.0028
Bulgaria,TEMPO#5,8576200,Grupo02,70.9,6597.494398
Bulgaria,TEMPO#6,8797022,Grupo02,70.81,7612.240438
Bulgaria,TEMPO#7,8892098,Grupo02,71.08,8224.191647
Bulgaria,TEMPO#8,8971958,Grupo02,71.34,8239.854824
Bulgaria,TEMPO#9,8658506,Grupo02,71.19,6302.623438
Bulgaria,TEMPO#10,8066057,Grupo02,70.32,5970.38876
Bulgaria,TEMPO#11,7661799,Grupo02,72.14,7696.777725
Bulgaria,TEMPO#12,7322858,Grupo02,73.005,10680.79282
Burkina Faso,TEMPO#1,4469979,Grupo03,31.975,543.2552413
Burkina Faso,TEMPO#2,4713416,Grupo03,34.906,617.1834648
Burkina Faso,TEMPO#3,4919632,Grupo03,37.814,722.5120206
Burkina Faso,TEMPO#4,5127935,Grupo03,40.697,794.8265597
Burkina Faso,TEMPO#5,5433886,Grupo03,43.591,854.7359763
Burkina Faso,TEMPO#6,5889574,Grupo03,46.137,743.3870368
Burkina Faso,TEMPO#7,6634596,Grupo03,48.122,807.1985855
Burkina Faso,TEMPO#8,7586551,Grupo03,49.557,912.0631417
Burkina Faso,TEMPO#9,8878303,Grupo03,50.26,931.7527731
Burkina Faso,TEMPO#10,10352843,Grupo03,50.324,946.2949618
Burkina Faso,TEMPO#11,12251209,Grupo03,50.65,1037.645221
Burkina Faso,TEMPO#12,14326203,Grupo03,52.295,1217.032994
Burundi,TEMPO#1,2445618,Grupo03,39.031,339.2964587
Burundi,TEMPO#2,2667518,Grupo03,40.533,379.5646281
Burundi,TEMPO#3,2961915,Grupo03,42.045,355.2032273
Burundi,TEMPO#4,3330989,Grupo03,43.548,412.9775136
Burundi,TEMPO#5,3529983,Grupo03,44.057,464.0995039
Burundi,TEMPO#6,3834415,Grupo03,45.91,556.1032651
Burundi,TEMPO#7,4580410,Grupo03,47.471,559.603231
Burundi,TEMPO#8,5126023,Grupo03,48.211,621.8188189
Burundi,TEMPO#9,5809236,Grupo03,44.736,631.6998778
Burundi,TEMPO#10,6121610,Grupo03,45.326,463.1151478
Burundi,TEMPO#11,7021078,Grupo03,47.36,446.4035126
Burundi,TEMPO#12,8390505,Grupo03,49.58,430.0706916
Cambodia,TEMPO#1,4693836,Grupo01,39.417,368.4692856
Cambodia,TEMPO#2,5322536,Grupo01,41.366,434.0383364
Cambodia,TEMPO#3,6083619,Grupo01,43.415,496.9136476
Cambodia,TEMPO#4,6960067,Grupo01,45.415,523.4323142
Cambodia,TEMPO#5,7450606,Grupo01,40.317,421.6240257
Cambodia,TEMPO#6,6978607,Grupo01,31.22,524.9721832
Cambodia,TEMPO#7,7272485,Grupo01,50.957,624.4754784
Cambodia,TEMPO#8,8371791,Grupo01,53.914,683.8955732
Cambodia,TEMPO#9,10150094,Grupo01,55.803,682.3031755
Cambodia,TEMPO#10,11782962,Grupo01,56.534,734.28517
Cambodia,TEMPO#11,12926707,Grupo01,56.752,896.2260153
Cambodia,TEMPO#12,14131858,Grupo01,59.723,1713.778686
Cameroon,TEMPO#1,5009067,Grupo03,38.523,1172.667655
Cameroon,TEMPO#2,5359923,Grupo03,40.428,1313.048099
Cameroon,TEMPO#3,5793633,Grupo03,42.643,1399.607441
Cameroon,TEMPO#4,6335506,Grupo03,44.799,1508.453148
Cameroon,TEMPO#5,7021028,Grupo03,47.049,1684.146528
Cameroon,TEMPO#6,7959865,Grupo03,49.355,1783.432873
Cameroon,TEMPO#7,9250831,Grupo03,52.961,2367.983282
Cameroon,TEMPO#8,10780667,Grupo03,54.985,2602.664206
Cameroon,TEMPO#9,12467171,Grupo03,54.314,1793.163278
Cameroon,TEMPO#10,14195809,Grupo03,52.199,1694.337469
Cameroon,TEMPO#11,15929988,Grupo03,49.856,1934.011449
Cameroon,TEMPO#12,17696293,Grupo03,50.43,2042.09524
Canada,TEMPO#1,14785584,Grupo04,68.75,11367.16112
Canada,TEMPO#2,17010154,Grupo04,69.96,12489.95006
Canada,TEMPO#3,18985849,Grupo04,71.3,13462.48555
Canada,TEMPO#4,20819767,Grupo04,72.13,16076.58803
Canada,TEMPO#5,22284500,Grupo04,72.88,18970.57086
Canada,TEMPO#6,23796400,Grupo04,74.21,22090.88306
Canada,TEMPO#7,25201900,Grupo04,75.76,22898.79214
Canada,TEMPO#8,26549700,Grupo04,76.86,26626.51503
Canada,TEMPO#9,28523502,Grupo04,77.95,26342.88426
Canada,TEMPO#10,30305843,Grupo04,78.61,28954.92589
Canada,TEMPO#11,31902268,Grupo04,79.77,33328.96507
Canada,TEMPO#12,33390141,Grupo04,80.653,36319.23501
Chad,TEMPO#1,2682462,Grupo03,38.092,1178.665927
Chad,TEMPO#2,2894855,Grupo03,39.881,1308.495577
Chad,TEMPO#3,3150417,Grupo03,41.716,1389.817618
Chad,TEMPO#4,3495967,Grupo03,43.601,1196.810565
Chad,TEMPO#5,3899068,Grupo03,45.569,1104.103987
Chad,TEMPO#6,4388260,Grupo03,47.383,1133.98495
Chad,TEMPO#7,4875118,Grupo03,49.517,797.9081006
Chad,TEMPO#8,5498955,Grupo03,51.051,952.386129
Chad,TEMPO#9,6429417,Grupo03,51.724,1058.0643
